Home Assistant notifications (Log started: 2017-09-28T03:17:15.939811+00:00),,,,
--------------------------------------------------------------------------------,,,,

68.7,52.5,-26.87,0.23,-2.01
68.7,52.5,-27.62,0.23,-2.01
68.7,52.0,-28.37,0.23,-2.09
68.7,52.0,-29.11,0.23,-2.09
68.7,52.0,-29.84,0.23,-2.09
68.7,50.8,-30.56,0.23,-2.21
68.7,50.8,-31.27,0.23,-2.21
68.7,50.8,-31.97,0.23,-2.21
68.7,50.8,-32.66,0.23,-2.21
68.7,50.8,-33.34,0.23,-2.21
68.7,50.8,-34.01,0.23,-2.21
68.7,50.8,-34.66,0.23,-2.21
66.4,50.8,-35.31,-0.47,-2.12
66.8,50.8,-35.94,3.82,-2.08
67.2,49.4,-36.56,5.86,-2.21
67.6,49.4,-37.17,4.1,-2.32
67.8,49.4,-37.76,3.57,-2.36
68.0,49.4,-38.33,1.91,-2.39
68.0,49.4,-38.89,1.91,-2.39
68.0,49.4,-39.44,1.91,-2.39
68.2,49.4,-39.97,0.86,-2.42
68.2,49.4,-40.48,0.86,-2.42
68.2,49.4,-40.97,0.86,-2.42
68.2,49.3,-41.44,0.86,-2.44
68.2,49.3,-41.9,0.86,-2.44
68.2,49.3,-42.34,0.86,-2.44
68.2,49.3,-42.75,0.86,-2.44
68.2,48.4,-43.15,0.86,-2.51
68.2,48.4,-43.52,0.86,-2.51
68.2,48.4,-43.87,0.86,-2.51
68.2,48.4,-44.2,0.86,-2.51
68.2,48.4,-44.51,0.86,-2.51
68.2,48.4,-44.79,0.86,-2.51
68.2,48.5,-45.05,0.86,-2.54
68.2,48.5,-45.28,0.86,-2.54
68.2,48.5,-45.49,0.86,-2.54
68.0,48.5,-45.68,-0.15,-2.54
68.0,48.5,-45.84,-0.15,-2.54
68.0,48.5,-45.97,-0.15,-2.54
68.0,47.7,-46.08,-0.15,-2.59
68.0,47.7,-46.16,-0.15,-2.59
68.0,47.7,-46.21,-0.15,-2.59
68.0,47.7,-46.24,-0.15,-2.59
67.8,47.7,-46.24,-0.39,-2.6
67.8,47.7,-46.21,-0.39,-2.6
67.8,47.7,-46.16,-0.39,-2.6
67.8,47.7,-46.08,-0.39,-2.6
67.8,47.7,-45.98,-0.39,-2.6
67.8,47.7,-45.85,-0.39,-2.6
67.8,47.7,-45.69,-0.39,-2.6
67.8,47.7,-45.51,-0.39,-2.6
67.8,46.8,-45.3,-0.39,-2.67
67.8,46.8,-45.07,-0.39,-2.67
67.6,46.8,-44.82,-0.24,-2.69
67.6,46.8,-44.54,-0.24,-2.69
67.6,46.8,-44.23,-0.24,-2.69
67.6,46.8,-43.9,-0.24,-2.69
67.6,46.8,-43.56,-0.24,-2.69
67.6,46.8,-43.18,-0.24,-2.69
67.4,46.8,-42.79,-0.37,-2.68
67.4,46.8,-42.38,-0.37,-2.68
67.4,47.0,-41.94,-0.37,-2.67
67.4,47.0,-41.49,-0.37,-2.67
67.4,47.0,-41.02,-0.37,-2.67
67.4,46.0,-40.53,-0.37,-2.73
67.4,46.0,-40.02,-0.37,-2.73
67.4,46.0,-39.49,-0.37,-2.73
67.2,46.0,-38.95,-0.33,-2.74
67.2,46.0,-38.39,-0.33,-2.74
67.2,46.0,-37.82,-0.33,-2.74
67.2,46.0,-37.23,-0.33,-2.74
67.2,46.0,-36.63,-0.33,-2.74
67.2,46.0,-36.01,-0.33,-2.74
67.2,46.0,-35.38,-0.33,-2.74
67.2,46.0,-34.74,-0.33,-2.74
67.2,46.0,-34.08,-0.33,-2.74
67.2,45.6,-33.42,-0.33,-2.77
67.2,45.6,-32.74,-0.33,-2.77
67.2,45.6,-32.05,-0.33,-2.77
67.2,45.6,-31.35,-0.33,-2.77
67.2,45.6,-30.64,-0.33,-2.77
67.0,45.6,-29.92,-0.17,-2.78
67.0,45.5,-29.2,-0.17,-2.79
67.0,45.5,-28.46,-0.17,-2.79
67.0,45.5,-27.72,-0.17,-2.79
67.0,47.2,-26.97,-0.17,-2.68
67.0,47.2,-26.21,-0.17,-2.68
67.0,47.2,-25.45,-0.17,-2.68
67.0,47.2,-24.67,-0.17,-2.68
67.0,45.1,-23.9,-0.17,-2.76
67.0,45.1,-23.11,-0.17,-2.76
67.0,45.1,-22.32,-0.17,-2.76
67.0,45.1,-21.53,-0.17,-2.76
67.0,45.1,-20.73,-0.17,-2.76
66.8,45.1,-19.92,-0.19,-2.79
66.8,45.2,-19.11,-0.19,-2.8
66.8,45.2,-18.3,-0.19,-2.8
66.8,45.2,-17.48,-0.19,-2.8
66.8,45.4,-16.66,-0.19,-2.79
66.8,45.4,-15.84,-0.19,-2.79
66.8,45.4,-15.01,-0.19,-2.79
67.0,45.4,-14.19,0.33,-2.8
67.0,45.4,-13.35,0.33,-2.8
67.0,45.4,-12.52,0.33,-2.8
67.2,45.4,-11.68,0.8,-2.82
67.2,45.4,-10.84,0.8,-2.82
67.2,45.4,-10.0,0.8,-2.82
67.4,45.4,-9.16,1.08,-2.84
67.4,45.4,-8.32,1.08,-2.84
67.6,45.4,-7.47,1.07,-2.86
67.6,45.6,-6.63,1.07,-2.86
67.6,45.6,-5.78,1.07,-2.86
67.6,45.6,-4.93,1.07,-2.86
67.6,45.6,-4.07,1.07,-2.86
67.8,45.6,-3.21,0.43,-2.87
67.8,45.6,-2.33,0.43,-2.87
67.8,45.6,-1.43,0.43,-2.87
67.8,45.6,-0.37,0.43,-2.87
68.0,45.6,0.52,0.67,-2.89
68.0,45.6,1.26,0.67,-2.89
68.0,45.6,2.02,0.67,-2.89
68.2,45.6,2.8,0.8,-2.91
68.2,45.6,3.59,0.8,-2.91
68.2,46.9,4.39,0.8,-2.84
68.2,46.9,5.2,0.8,-2.84
68.4,46.9,6.0,0.64,-2.82
68.4,46.9,6.81,0.64,-2.82
68.4,46.9,7.61,0.64,-2.82
68.4,46.9,8.41,0.64,-2.82
68.4,46.9,9.21,0.64,-2.82
68.4,46.9,10.01,0.64,-2.82
68.4,46.9,10.81,0.64,-2.82
68.4,47.1,11.6,0.64,-2.79
68.4,47.1,12.39,0.64,-2.79
68.4,47.1,13.17,0.64,-2.79
68.4,48.4,13.95,0.64,-2.7
68.4,48.4,14.72,0.64,-2.7
68.4,48.4,15.49,0.64,-2.7
68.4,48.4,16.25,0.64,-2.7
68.4,48.4,17.0,0.64,-2.7
68.2,48.4,17.75,-0.16,-2.64
68.2,48.4,18.49,-0.16,-2.64
68.2,48.4,19.22,-0.16,-2.64
68.2,48.4,19.95,-0.16,-2.64
68.2,48.4,20.67,-0.16,-2.64
68.2,48.4,21.38,-0.16,-2.64
68.2,48.4,22.08,-0.16,-2.64
68.4,49.8,22.77,0.31,-2.52
68.4,49.8,23.46,0.31,-2.52
68.2,49.8,24.13,-1.11,-2.46
68.2,49.8,24.79,-1.11,-2.46
68.0,49.8,25.44,-2.1,-2.41
67.8,49.8,26.09,-1.64,-2.38
67.8,49.8,26.72,-1.64,-2.38
67.8,49.8,27.33,-1.64,-2.38
67.8,49.8,27.94,-1.64,-2.38
67.8,49.8,28.53,-1.64,-0.28
67.6,49.8,29.11,-0.48,0.04
67.6,49.8,29.68,-0.48,0.16
67.6,49.8,30.23,-0.48,0.25
67.6,51.8,30.77,-0.48,0.57
67.6,51.8,31.29,-0.48,0.63
67.4,51.8,31.8,-0.49,0.7
67.4,51.8,32.29,-0.49,0.75
67.4,51.8,32.76,-0.49,0.78
67.4,51.8,33.22,-0.49,0.81
67.2,51.8,33.66,-0.56,0.86
67.2,51.8,34.09,-0.56,0.88
67.2,51.8,34.49,-0.56,0.91
67.2,51.8,34.88,-0.56,0.92
67.2,51.8,35.24,-0.56,0.94
67.0,51.8,35.59,-0.46,0.98
67.0,54,35.92,-0.46,1.25
67.0,54,36.23,-0.46,1.3
67.0,54,36.51,-0.46,1.31
67.0,54,36.78,-0.46,1.32
67.0,54,37.03,-0.46,1.33
66.8,54,37.25,-0.44,1.36
66.8,54.0,37.45,-0.44,1.37
66.8,54.0,37.63,-0.44,1.38
66.8,54.0,37.78,-0.44,1.38
